Category,Group,SubGroup,Forward,Inverse,Source,Target,Name,Summary
Ascii,Numeric,Number,ToHan,ToZen,０,0,n0,０ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,１,1,n1,１ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,２,2,n2,２ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,３,3,n3,３ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,４,4,n4,４ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,５,5,n5,５ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,６,6,n6,６ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,７,7,n7,７ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,８,8,n8,８ (数字) <全角-半角 変換>
Ascii,Numeric,Number,ToHan,ToZen,９,9,n9,９ (数字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ａ,A,A,Ａ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｂ,B,B,Ｂ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｃ,C,C,Ｃ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｄ,D,D,Ｄ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｅ,E,E,Ｅ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｆ,F,F,Ｆ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｇ,G,G,Ｇ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｈ,H,H,Ｈ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｉ,I,I,Ｉ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｊ,J,J,Ｊ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｋ,K,K,Ｋ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｌ,L,L,Ｌ (英大文字) <全角-半角 変換>
Ascii,Alphabet,Large,ToHan,ToZen,Ｍ,M,M,Ｍ (英大文字) <全角-半角 変換>
